Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Runde;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
So.;20.09.2026;17:30;270461;Weilheim, Jahnhalle ;3;;BZOL M;Herren;TSV Weilheim;HSG Isar-Loisach;;;;;;;;;;
Sa.;26.09.2026;14:30;270139;Herrsching, Realschule;9;;BZOL F;Damen;TSV Herrsching III;TSV Weilheim;;;;;;;;;;
So.;27.09.2026;09:00;270461;Weilheim, Jahnhalle ;20;;BZK MD;mD II;TSV Weilheim II;TSV Peißenberg;;;;;;;;;;
So.;27.09.2026;10:00;270461;Weilheim, Jahnhalle ;19;;BZK MD;mD II;TSV Peißenberg;TSV Weilheim II;;;;;;;;;;
So.;27.09.2026;11:00;270461;Weilheim, Jahnhalle ;17;;BZL MD;mD;TSV Weilheim;TV Bad Tölz;;;;;;;;;;
So.;27.09.2026;11:15;270141;Huglfing, Sporthalle an der Seeleite ;8;;BZK WD;wD;BSC Oberhausen;TSV Weilheim;;;;;;;;;;
So.;27.09.2026;12:15;270141;Huglfing, Sporthalle an der Seeleite ;9;;BZK WD;wD;TSV Weilheim;TSV Murnau;;;;;;;;;;
So.;27.09.2026;13:00;270461;Weilheim, Jahnhalle ;16;;BZL MD;mD;SC U´hofen-Germering;TSV Weilheim;;;;;;;;;;
So.;27.09.2026;17:00;270361;Schongau, Lechsporthalle ;9;;BZOL M;Herren;TSV Schongau;TSV Weilheim;;;;;;;;;;
Sa.;03.10.2026;13:30;270462;Weilheim, Am Hardt;4;;BZK MD;mD II;TSV Weilheim II;SSV Ettal II;;;;;;;;;;
Sa.;03.10.2026;15:30;270462;Weilheim, Am Hardt;6;;BZK MD;mD II;TSV Herrsching;TSV Weilheim II;;;;;;;;;;
Sa.;03.10.2026;17:30;270462;Weilheim, Am Hardt;16;;BZOL M;Herren;TSV Weilheim;HSG Gröbenzell-Olching;;;;;;;;;;
So.;04.10.2026;10:00;270462;Weilheim, Am Hardt;1;;BZK WD;wD;TSV Weilheim;HSG Isar-Loisach;;;;;;;;;;
So.;04.10.2026;12:00;270462;Weilheim, Am Hardt;3;;BZK WD;wD;TSV Murnau;TSV Weilheim;;;;;;;;;;
So.;04.10.2026;16:00;270460;Waltenhofen, Mehrzweckhalle ;16;;BZOL F;Damen;TV Waltenhofen;TSV Weilheim;;;;;;;;;;
Sa.;10.10.2026;14:00;270224;Mindelheim, Maristenkolleg;22;;BZOL F;Damen;TSV Mindelheim;TSV Weilheim;;;;;;;;;;
Sa.;10.10.2026;18:00;270462;Weilheim, Am Hardt;22;;BZOL M;Herren;TSV Weilheim;TSV Ottobeuren II;;;;;;;;;;
So.;11.10.2026;09:00;270464;Wolfratshausen, Sporthalle ;10;;BZK WD;wD;HSG Isar-Loisach;TSV Weilheim;;;;;;;;;;
So.;11.10.2026;10:00;270464;Wolfratshausen, Sporthalle ;11;;BZK WD;wD;TSV Weilheim;TSV Partenkirchen II;;;;;;;;;;
So.;18.10.2026;10:00;270325;Pullach, Erzdiözese;26;;BZL MD;mD;SV Pullach;TSV Weilheim;;;;;;;;;;
So.;18.10.2026;11:15;270325;Pullach, Erzdiözese;27;;BZL MD;mD;TSV Weilheim;HSG Isar-Loisach;;;;;;;;;;
So.;18.10.2026;15:15;270461;Weilheim, Jahnhalle ;29;;BZOL F;Damen;TSV Weilheim;SC U´hofen-Germering;;;;;;;;;;
So.;18.10.2026;18:30 t/v;270160;Immenstadt, Julius-Kunert-Halle;29;;BZOL M;Herren;TV Immenstadt;TSV Weilheim;;;;;;;;;;
Sa.;24.10.2026;11:00;270121;Partenkirchen, Werdenfels Gym.;5;;BZK WD;wD;TSV Partenkirchen II;TSV Weilheim;;;;;;;;;;
Sa.;24.10.2026;12:00;270121;Partenkirchen, Werdenfels Gym.;6;;BZK WD;wD;TSV Weilheim;BSC Oberhausen;;;;;;;;;;
Sa.;24.10.2026;12:30;270226;Murnau, Hans Burger;7;;BZK MD;mD II;TSV Murnau;TSV Weilheim II;;;;;;;;;;
Sa.;24.10.2026;13:30;270226;Murnau, Hans Burger;8;;BZK MD;mD II;TSV Weilheim II;TSV Herrsching;;;;;;;;;;
Sa.;24.10.2026;16:00;270463;Weßling, Sporthalle am Meilinger Weg ;35;;BZOL F;Damen;SC Weßling;TSV Weilheim;;;;;;;;;;
Sa.;24.10.2026;20:00;270129;Gräfelfing, Kurt-Huber-Gymnasium;35;;BZOL M;Herren;HSG Würm-Mitte 22;TSV Weilheim;;;;;;;;;;
So.;25.10.2026;10:00;270202;Landsberg, Isidor-Hipper-Strasse;7;;BZL MD;mD;TSV Landsberg;TSV Weilheim;;;;;;;;;;
So.;25.10.2026;11:00;270202;Landsberg, Isidor-Hipper-Strasse;8;;BZL MD;mD;TSV Weilheim;TSV Gilching;;;;;;;;;;
Sa.;31.10.2026;16:00;270462;Weilheim, Am Hardt;42;;BZOL F;Damen;TSV Weilheim;SG Biessenhofen-Marktoberdorf II;;;;;;;;;;
Sa.;31.10.2026;20:00;270121;Partenkirchen, Werdenfels Gym.;42;;BZOL M;Herren;TSV Partenkirchen;TSV Weilheim;;;;;;;;;;
So.;08.11.2026;17:30;270462;Weilheim, Am Hardt;3;;BZOL F;Damen;TSV Weilheim;Eichenauer SV;;;;;;;;;;
Sa.;14.11.2026;09:00;270121;Partenkirchen, Werdenfels Gym.;30;;BZL MD;mD;TSV Weilheim;TSV Partenkirchen;;;;;;;;;;
Sa.;14.11.2026;09:30;270300;;13;;BZK MD;mD II;SSV Ettal II;TSV Weilheim II;;;;;;;;;;
Sa.;14.11.2026;10:00;270121;Partenkirchen, Werdenfels Gym.;29;;BZL MD;mD;TuS Fürstenfeldbruck;TSV Weilheim;;;;;;;;;;
Sa.;14.11.2026;10:30;270300;;14;;BZK MD;mD II;TSV Weilheim II;TSV Murnau;;;;;;;;;;
So.;15.11.2026;16:30;270141;Huglfing, Sporthalle an der Seeleite ;47;;BZOL F;Damen;TSV Weilheim;TSV Murnau;;;;;;;;;;
So.;15.11.2026;18:30;270141;Huglfing, Sporthalle an der Seeleite ;47;;BZOL M;Herren;TSV Weilheim;SG Kaufbeuren/Neugablonz;;;;;;;;;;
